Pregunta,Opción A,Opción B,Opción C,Opción D,Correcta,Categoría,Dificultad,Cantidad fallos,Cantidad aciertos,Veces preguntada
¿Quién es el fontanero más famoso de los videojuegos?,Sonic,Luigi,Mario,Crash,3,Videojuegos,Fácil,2,0,2
¿Cuál es el objetivo principal en Pac-Man?,Atrapar fantasmas,Comer puntos,Escapar de los fantasmas,Resolver acertijos,2,Videojuegos,Fácil,3,0,3
¿Qué consola fue creada por Sony?,Xbox,PlayStation,GameCube,Atari,2,Videojuegos,Fácil,1,0,1
¿Qué juego popular de móviles involucra lanzar pájaros a estructuras?,Candy Crush,Temple Run,Angry Birds,Flappy Bird,3,Videojuegos,Fácil,1,2,3
¿En qué saga aparece el personaje Pikachu?,Pokémon,Digimon,Yu-Gi-Oh!,Animal Crossing,1,Videojuegos,Fácil,1,1,2
¿Qué videojuego tiene niveles en Mundo 1-1?,Sonic,Super Mario Bros,Zelda,Donkey Kong,2,Videojuegos,Fácil,0,0,0
¿Qué personaje utiliza un sombrero verde en The Legend of Zelda?,Zelda,Ganondorf,Link,Navi,3,Videojuegos,Fácil,1,0,1
¿Qué compañía creó el juego Minecraft?,EA,Nintendo,Rockstar,Mojang,4,Videojuegos,Fácil,2,1,3
¿Qué personaje es un erizo azul famoso?,Sonic,Mario,Kirby,Donkey Kong,1,Videojuegos,Fácil,1,0,1
¿Qué saga de videojuegos tiene como antagonista principal a Dr. Robotnik?,Sonic,Mega Man,Kirby,Metroid,1,Videojuegos,Fácil,1,0,1
¿Cuál es el nombre de los fantasmas de Pac-Man?,Blinky; Pinky; Inky y Clyde,Shadow; Speedy; Bashful y Pokey,Boo; Spooky; Winky y Clyde,Glowy; Slowpoke; Sneaky y Blinky,1,Videojuegos,Normal,0,0,0
¿Qué videojuego popular tiene un mapa llamado Dust II?,Fortnite,Counter-Strike,Call of Duty,Valorant,2,Videojuegos,Normal,0,0,0
¿Qué género describe a The Legend of Zelda: Breath of the Wild?,Shooter,RPG de acción,Estrategia,Simulación,2,Videojuegos,Normal,0,0,0
¿Cuál fue el primer personaje jugable en Donkey Kong?,Mario,Donkey Kong,Luigi,Diddy Kong,1,Videojuegos,Normal,0,0,0
¿Qué significa MMO en videojuegos?,Multi Map Online,Massive Multiplayer Online,Mega Match Online,Multiplayer Mission Online,2,Videojuegos,Normal,0,0,0
¿Qué videojuego introdujo el sistema de construcción rápida en Battle Royale?,PUBG,Apex Legends,Free Fire,Fortnite,4,Videojuegos,Normal,0,0,0
¿Cuál es el nombre completo de la consola SNES?,Super Nintendo Entertainment System,Sega Nintendo Entertainment System,Small Nintendo Exclusive System,Super Nova Entertainment System,1,Videojuegos,Normal,0,0,0
¿Quién es el creador de Metal Gear Solid?,Hideo Kojima,Shigeru Miyamoto,Satoru Iwata,Hideki Kamiya,1,Videojuegos,Normal,0,0,0
¿Qué videojuego presenta un mundo postapocalíptico lleno de máquinas animales?,Fallout 4,The Last of Us,Horizon Zero Dawn, Days Gone,3,Videojuegos,Normal,0,0,0
¿Qué videojuego se considera el precursor del género Battle Royale?,Fortnite,Apex Legends,Free Fire,PUBG,4,Videojuegos,Normal,0,0,0
¿En qué año se lanzó el primer Final Fantasy?,1985,1987,1990,1992,2,Videojuegos,Difícil,0,0,0
